id,id2,name,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC26,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,"Total; Estimate; Management, business, science, and arts occupations:","Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:","Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations","Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations","Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:","Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations","Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",Total; Estimate; Service occupations:,Total; Estimate; Service occupations: - Healthcare support occupations,Total; Estimate; Service occupations: - Protective service occupations:,"Total; Estimate; Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors",Total; Estimate; Service occupations: - Protective service occupations: - Law enforcement workers including supervisors,Total; Estimate; Service occupations: - Food preparation and serving related occupations,Total; Estimate; Service occupations: - Building and grounds cleaning and maintenance occupations,Total; Estimate; Service occupations: - Personal care and service occupations,Total; Estimate; Sales and office occupations:,Total; Estimate; Sales and office occupations: - Sales and related occupations,Total; Estimate; Sales and office occupations: - Office and administrative support occupations,"Total; Estimate; Natural resources, construction, and maintenance occupations:","Total; Estimate; Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations","Total; Estimate; Natural resources, construction, and maintenance occupations: - Construction and extraction occupations","Total; Estimate; Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations","Total; Estimate; Production, transportation, and material moving occupations:","Total; Estimate; Production, transportation, and material moving occupations: - Production occupations","Total; Estimate; Production, transportation, and material moving occupations: - Transportation occupations","Total; Estimate; Production, transportation, and material moving occupations: - Material moving occupations"
0400000US33,33,New Hampshire,698810,278333,108650,75569,33081,48779,24719,18424,5636,77190,11217,5633,48762,11578,43714,30398,13316,110105,15142,11373,6362,5011,37037,23468,23085,169158,79100,90058,63134,2690,36743,23701,78080,43748,21770,12562
0400000US34,34,New Jersey,4281760,1751411,724287,471453,252834,271916,161670,69640,40606,506822,70743,62103,289065,84911,248386,178499,69887,716343,103278,104428,57788,46640,202224,154951,151462,1059562,474395,585167,308667,8038,185571,115058,445777,170674,167792,107311
0400000US35,35,New Mexico,876035,309877,110515,78750,31765,48671,16898,19540,12233,102427,16776,10264,59915,15472,48264,32991,15273,182601,23489,24120,13142,10978,57389,38184,39419,203580,88163,115417,99166,9486,56881,32799,80811,33093,31402,16316
0400000US36,36,New York,9254578,3627956,1363862,891755,472107,418516,213778,124825,79913,1297321,186735,161759,664350,284477,548257,392210,156047,1879463,323412,261833,142878,118955,514919,387264,392035,2198961,976258,1222703,673298,23041,418702,231555,874900,362614,353781,158505
0400000US37,37,North Carolina,4372773,1583227,626075,429137,196938,223905,114852,67814,41239,468158,80646,36419,279066,72027,265089,177796,87293,772051,121466,92224,45507,46717,253703,170747,133911,1023814,485709,538105,410749,31395,224584,154770,582932,318508,149314,115110
0400000US38,38,North Dakota,387716,135673,61134,46260,14874,15456,5837,6159,3460,36674,6313,3144,22786,4431,22409,15680,6729,65679,11236,5762,2829,2933,20316,13204,15161,87277,37050,50227,51025,6575,27468,16982,48062,21001,17535,9526
0400000US39,39,Ohio,5366673,1881496,747019,501053,245966,263254,125476,98273,39505,523753,89747,48497,305814,79695,347470,231974,115496,943596,159474,97916,54954,42962,329227,188889,168090,1282772,547260,735512,412513,17094,221547,173872,846296,459996,199833,186467
0400000US40,40,Oklahoma,1719541,571918,226394,155697,70697,68376,30797,26489,11090,178721,34788,17081,103873,22979,98427,62187,36240,303533,44586,35327,19329,15998,99771,67760,56089,416136,175706,240430,200510,11589,117513,71408,227444,120502,62353,44589
0400000US41,41,Oregon,1789807,662173,264116,183789,80327,107574,49851,39863,17860,194558,34997,17733,100668,41160,95925,68914,27011,333964,41638,29707,17832,11875,113841,68009,80769,419477,186482,232995,158863,34254,74163,50446,215330,107755,61645,45930
0400000US42,42,Pennsylvania,6001889,2202299,844981,559963,285018,313074,149146,105068,58860,633846,117697,66090,354510,95549,410398,276773,133625,1056168,168031,121002,63517,57485,342835,212418,211882,1439725,612893,826832,495496,27205,273128,195163,808201,385080,222933,200188
0400000US44,44,Rhode Island,518170,191163,69132,46708,22424,25872,12046,8489,5337,63707,11033,5989,36667,10018,32452,23250,9202,104636,18693,12599,7718,4881,35317,18314,19713,126595,54854,71741,37389,1430,22382,13577,58387,32814,15547,10026
0400000US45,45,South Carolina,2075274,686558,268390,186342,82048,89159,38272,37348,13539,205502,36106,18218,122489,28689,123507,79662,43845,379346,45060,47635,26037,21598,130819,89129,66703,514852,243561,271291,190040,10391,102954,76695,304478,175310,72210,56958
0400000US46,46,South Dakota,430853,150143,66013,50508,15505,15824,6563,5564,3697,41541,8239,2734,24903,5665,26765,18702,8063,74626,11196,6573,3201,3372,25667,16144,15046,103270,43366,59904,47344,8023,24465,14856,55470,29295,16023,10152
0400000US47,47,Tennessee,2888742,975846,375013,257379,117634,116614,54684,42073,19857,298074,51170,25489,172290,49125,186145,118225,67920,490921,60473,61000,32825,28175,165874,108458,95116,718654,322266,396388,255715,12274,142411,101030,447606,237810,108149,101647
0400000US48,48,Texas,12094262,4246418,1750772,1176136,574636,642497,311385,246461,84651,1237515,166650,124992,759431,186442,615634,404119,211515,2137635,277159,277726,139850,137876,679277,506388,397085,2950995,1344972,1606023,1314287,60079,808733,445475,1444927,677837,462727,304363
0400000US49,49,Utah,1337646,492839,198263,133453,64810,82224,44854,26081,11289,148848,18122,13004,89605,28117,63504,44290,19214,209077,29189,23381,14031,9350,69506,49417,37584,349898,149756,200142,118516,5106,70142,43268,167316,89530,44405,33381
0400000US50,50,Vermont,326732,132097,49500,35395,14105,17028,6829,6134,4065,45939,7530,3331,26866,8212,19630,13991,5639,56783,6676,4717,2482,2235,17432,13584,14374,69830,30467,39363,33072,3920,19041,10111,34950,20245,9209,5496
0400000US51,51,Virginia,3990770,1703602,703523,462136,241387,316789,197068,79616,40105,470344,67496,64013,258424,80411,212946,141457,71489,674982,81558,104440,56385,48055,212491,141902,134591,899214,399551,499663,334723,14308,198727,121688,378249,171466,130913,75870
0400000US53,53,Washington,3259877,1270584,511592,350184,161408,251813,136311,82790,32712,334349,54394,35490,178560,65905,172830,122352,50478,571600,73551,61952,37862,24090,182955,113242,139900,735995,329423,406572,313191,56928,150405,105858,368507,167972,116339,84196
0400000US54,54,West Virginia,751252,241587,79703,55613,24090,29555,12201,11020,6334,75661,14104,8642,44624,8291,56668,35482,21186,141436,21973,17505,8921,8584,43709,30161,28088,181570,80531,101039,89595,3340,56448,29807,97064,43052,32925,21087
0400000US55,55,Wisconsin,2883390,996016,403997,273307,130690,145668,67863,53919,23886,277838,45836,21136,164519,46347,168513,116297,52216,490498,82156,47783,23721,24062,166715,97055,96789,665207,277424,387783,245698,30179,121753,93766,485971,291508,97772,96691
0400000US56,56,Wyoming,293949,95680,39192,29796,9396,11178,2369,5288,3521,32282,4851,2909,20796,3726,13028,9087,3941,52163,5569,6180,3050,3130,17502,13719,9193,62560,26361,36199,47142,3280,27890,15972,36404,14161,14820,7423
0400000US72,72,Puerto Rico,1063350,339300,124764,73702,51062,33473,10689,13799,8985,118914,16885,10917,77317,13795,62149,42596,19553,219098,14381,57250,32927,24323,56230,60340,30897,294504,131249,163255,102094,9601,49678,42815,108354,59761,28545,20048
