id,id2,name,HC01_EST_VC01,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC19,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36
Id,Id2,Geography,Total employed population,Management,Business and financial operations,Computer and mathematics,Architecture and engineering,"Life, physical, and social science",Community and social services,Legal,"Education, training, and library","Arts, design, entertainment, sports, and media",Health diagnosing and treating practitioners,Health technologists and technicians,Healthcare support,Fire fighting and prevention,Law enforcement,Food preparation and serving,Building and grounds cleaning and maintenance,Personal care and service occupations,Sales,Office and administrative support,"Farming, fishing, and forestry",Construction and extraction,"Installation, maintenance, and repair",Production,Transportation,Material moving
0400000US42,42,Pennsylvania,6001889,559963,285018,149146,105068,58860,117697,66090,354510,95549,276773,133625,168031,63517,57485,342835,212418,211882,612893,826832,27205,273128,195163,385080,222933,200188
0400000US44,44,Rhode Island,518170,46708,22424,12046,8489,5337,11033,5989,36667,10018,23250,9202,18693,7718,4881,35317,18314,19713,54854,71741,1430,22382,13577,32814,15547,10026
0400000US45,45,South Carolina,2075274,186342,82048,38272,37348,13539,36106,18218,122489,28689,79662,43845,45060,26037,21598,130819,89129,66703,243561,271291,10391,102954,76695,175310,72210,56958
0400000US46,46,South Dakota,430853,50508,15505,6563,5564,3697,8239,2734,24903,5665,18702,8063,11196,3201,3372,25667,16144,15046,43366,59904,8023,24465,14856,29295,16023,10152
0400000US47,47,Tennessee,2888742,257379,117634,54684,42073,19857,51170,25489,172290,49125,118225,67920,60473,32825,28175,165874,108458,95116,322266,396388,12274,142411,101030,237810,108149,101647
0400000US48,48,Texas,12094262,1176136,574636,311385,246461,84651,166650,124992,759431,186442,404119,211515,277159,139850,137876,679277,506388,397085,1344972,1606023,60079,808733,445475,677837,462727,304363
0400000US49,49,Utah,1337646,133453,64810,44854,26081,11289,18122,13004,89605,28117,44290,19214,29189,14031,9350,69506,49417,37584,149756,200142,5106,70142,43268,89530,44405,33381
0400000US50,50,Vermont,326732,35395,14105,6829,6134,4065,7530,3331,26866,8212,13991,5639,6676,2482,2235,17432,13584,14374,30467,39363,3920,19041,10111,20245,9209,5496
0400000US51,51,Virginia,3990770,462136,241387,197068,79616,40105,67496,64013,258424,80411,141457,71489,81558,56385,48055,212491,141902,134591,399551,499663,14308,198727,121688,171466,130913,75870
0400000US53,53,Washington,3259877,350184,161408,136311,82790,32712,54394,35490,178560,65905,122352,50478,73551,37862,24090,182955,113242,139900,329423,406572,56928,150405,105858,167972,116339,84196
0400000US54,54,West Virginia,751252,55613,24090,12201,11020,6334,14104,8642,44624,8291,35482,21186,21973,8921,8584,43709,30161,28088,80531,101039,3340,56448,29807,43052,32925,21087
0400000US55,55,Wisconsin,2883390,273307,130690,67863,53919,23886,45836,21136,164519,46347,116297,52216,82156,23721,24062,166715,97055,96789,277424,387783,30179,121753,93766,291508,97772,96691
0400000US56,56,Wyoming,293949,29796,9396,2369,5288,3521,4851,2909,20796,3726,9087,3941,5569,3050,3130,17502,13719,9193,26361,36199,3280,27890,15972,14161,14820,7423
0400000US72,72,Puerto Rico,1063350,73702,51062,10689,13799,8985,16885,10917,77317,13795,42596,19553,14381,32927,24323,56230,60340,30897,131249,163255,9601,49678,42815,59761,28545,20048
